Distance,CQI
456.03,5.0
456.03,6.0
456.03,6.0
456.03,5.0
456.03,5.0
456.03,5.0
456.03,8.0
456.03,8.0
451.6,8.0
451.6,4.0
451.6,4.0
451.6,4.0
8713.38,2.0
8713.38,2.0
8713.38,9.0
8713.38,9.0
8713.38,9.0
8724.219999999998,9.0
8724.219999999998,5.0
8724.219999999998,5.0
8724.219999999998,9.0
8724.219999999998,5.0
8724.219999999998,7.0
8724.219999999998,9.0
8724.219999999998,8.0
8724.219999999998,10.0
8724.219999999998,7.0
8724.219999999998,10.0
8733.76,10.0
8733.76,10.0
8733.76,7.0
8733.76,7.0
8733.76,7.0
8733.76,9.0
8733.76,9.0
8733.76,9.0
8733.76,9.0
8733.76,8.0
8742.68,8.0
8742.68,8.0
8742.68,7.0
8742.68,14.0
8742.68,9.0
8742.68,12.0
8742.68,11.0
8742.68,11.0
8742.68,11.0
8752.38,11.0
8752.38,10.0
8752.38,8.0
8752.38,8.0
8752.38,10.0
8752.38,10.0
8752.38,8.0
8752.38,8.0
8752.38,10.0
8762.069999999998,10.0
8762.069999999998,11.0
8762.069999999998,9.0
8762.069999999998,11.0
8762.069999999998,8.0
8762.069999999998,8.0
8762.069999999998,8.0
8762.069999999998,10.0
8762.069999999998,10.0
8772.26,9.0
8772.26,9.0
8772.26,9.0
8772.26,8.0
8772.26,8.0
8772.26,8.0
8772.26,10.0
8772.26,10.0
8772.26,6.0
8772.26,2.0
8782.219999999998,2.0
8782.219999999998,2.0
8782.219999999998,2.0
8782.219999999998,9.0
8782.219999999998,9.0
8782.219999999998,9.0
8782.219999999998,5.0
8782.219999999998,7.0
8782.219999999998,7.0
8792.1,2.0
8792.1,2.0
427.2,7.0
427.2,7.0
427.2,7.0
427.2,2.0
8792.1,15.0
8792.1,12.0
8792.1,12.0
8792.1,13.0
8802.16,13.0
8802.16,13.0
8802.16,9.0
8802.16,12.0
8802.16,12.0
8802.16,15.0
8802.16,12.0
8802.16,15.0
8802.16,12.0
8802.16,12.0
8812.21,12.0
8812.21,12.0
8812.21,10.0
8812.21,9.0
8812.21,9.0
8812.21,5.0
8812.21,5.0
8812.21,10.0
8812.21,6.0
8822.53,6.0
8822.53,7.0
8822.53,10.0
8822.53,10.0
8822.53,12.0
8822.53,15.0
8822.53,15.0
8822.53,11.0
8822.53,11.0
8832.54,11.0
8832.54,11.0
8832.54,11.0
8832.54,5.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
8832.54,10.0
413.64,2.0
413.64,7.0
413.64,15.0
413.64,5.0
413.64,5.0
409.69,5.0
409.69,6.0
409.69,4.0
409.69,4.0
409.69,4.0
409.69,9.0
409.69,9.0
405.33,9.0
405.33,6.0
405.33,6.0
405.33,8.0
405.33,8.0
405.33,12.0
405.33,12.0
405.33,8.0
400.73,8.0
400.73,8.0
400.73,8.0
400.73,8.0
400.73,10.0
400.73,7.0
400.73,11.0
400.73,6.0
399.3,6.0
399.3,6.0
399.3,6.0
399.3,7.0
399.3,7.0
399.3,7.0
399.3,7.0
399.3,7.0
399.3,10.0
399.3,10.0
396.15,10.0
396.15,11.0
396.15,11.0
8884.87,9.0
8884.87,9.0
8884.87,8.0
8884.87,10.0
8884.87,10.0
8884.87,10.0
8884.87,10.0
8884.87,11.0
8884.87,4.0
8884.87,11.0
8884.87,12.0
8896.33,14.0
8896.33,14.0
8896.33,14.0
8896.33,15.0
8896.33,8.0
8896.33,2.0
394.64,2.0
394.64,7.0
